"ano";"UF";"sexo";"idade";"cor";"mae_viva";"reg_nascimento";"UF_nasc";"alfabetizado";"anos_estudo";"renda_total"
2005;"MS";"homem";15;"parda";1;1;;1;6;0
2005;"RJ";"mulher";29;"parda";0;1;;1;15;400
2005;"DF";"homem";11;"branca";1;1;;0;0;0
2005;"SP";"homem";9;"branca";1;1;;1;2;
2005;"SE";"mulher";71;"parda";0;1;;1;4;530
2005;"BA";"homem";19;"branca";1;1;;1;10;150
2005;"MA";"mulher";26;"parda";1;1;;1;8;0
2005;"RO";"homem";63;"parda";0;1;"ES";1;4;550
2005;"SP";"homem";29;"parda";1;1;;1;11;750
2005;"PA";"mulher";3;"preta";1;1;;0;0;
2005;"BA";"homem";50;"preta";1;1;;0;0;340
2005;"SP";"mulher";1;"parda";1;1;;0;0;
2005;"DF";"mulher";25;"preta";1;1;;1;15;2000
2005;"MG";"homem";36;"branca";0;1;;1;4;300
2005;"MG";"mulher";54;"parda";0;1;;0;0;0
2005;"CE";"homem";24;"branca";1;1;;1;11;0
2005;"PR";"homem";22;"parda";1;1;;1;15;800
2005;"BA";"mulher";14;"branca";1;1;;1;7;0
2005;"MG";"mulher";72;"branca";0;1;;1;2;990
2005;"CE";"mulher";26;"parda";1;1;;1;11;150
2005;"CE";"mulher";68;"parda";1;1;;0;0;300
2005;"RJ";"homem";4;"parda";1;1;;0;0;
2005;"RJ";"mulher";67;"branca";0;1;;1;6;500
2005;"PA";"mulher";44;"branca";0;1;;1;8;120
2005;"AM";"mulher";32;"parda";1;1;;1;10;65
2005;"SP";"mulher";37;"branca";0;1;"estrangeiro";1;15;600
2005;"MS";"mulher";12;"branca";1;1;"RS";1;6;150
2005;"RJ";"homem";57;"branca";1;1;"PA";1;15;16500
2005;"ES";"homem";13;"parda";1;1;;1;4;0
2005;"MG";"mulher";22;"branca";1;1;;1;4;0
2005;"DF";"homem";20;"preta";1;1;;1;9;0
2005;"MG";"mulher";20;"branca";1;1;;1;11;0
2005;"SP";"mulher";57;"parda";1;1;"BA";0;0;390
2005;"RJ";"mulher";9;"parda";1;1;;1;2;
2005;"RN";"mulher";57;"branca";1;1;;1;15;3000
2005;"PB";"homem";29;"branca";1;1;;1;8;1000
2005;"SP";"mulher";14;"branca";1;1;;1;7;0
2005;"BA";"mulher";2;"preta";1;1;;0;0;
2005;"CE";"mulher";1;"parda";1;1;;0;0;
2005;"PR";"mulher";49;"branca";1;1;;1;3;0
2005;"PA";"mulher";10;"parda";1;1;;1;1;0
2005;"RS";"homem";16;"preta";1;1;;1;2;0
2005;"RJ";"mulher";49;"branca";1;1;;1;6;300
2005;"ES";"homem";63;"parda";0;1;"MG";1;0;686
2005;"PE";"mulher";11;"parda";1;1;;1;4;0
2005;"BA";"homem";26;"preta";1;1;;1;5;300
2005;"MG";"mulher";54;"preta";1;1;;1;3;0
2005;"CE";"mulher";50;"parda";1;1;;1;11;883
2005;"MG";"mulher";23;"branca";1;1;;1;8;370
2005;"PA";"homem";35;"parda";1;1;;1;11;385
2005;"PE";"mulher";27;"branca";1;1;;1;11;0
2005;"CE";"mulher";26;"branca";1;1;;1;8;158
2005;"PE";"mulher";73;"parda";0;1;"PB";1;2;300
2005;"MT";"homem";32;"branca";0;1;"SP";1;4;750
2005;"BA";"mulher";30;"preta";1;1;;1;11;100
2005;"PR";"homem";32;"branca";1;1;;1;11;2250
2005;"RS";"homem";28;"branca";1;1;;1;2;600
2005;"BA";"mulher";16;"parda";1;1;;1;6;0
2005;"PA";"mulher";11;"parda";1;1;;1;2;0
2005;"AL";"mulher";47;"branca";0;1;;1;0;300
2005;"SP";"mulher";22;"parda";1;1;;1;11;330
2005;"AL";"mulher";38;"branca";0;1;;1;5;0
2005;"RJ";"homem";48;"branca";0;1;"MG";1;8;0
2005;"RS";"homem";14;"preta";1;1;;1;7;0
2005;"RS";"homem";38;"branca";1;1;;1;6;1100
2005;"BA";"mulher";37;"parda";1;1;;1;3;165
2005;"BA";"homem";4;"parda";1;1;;0;0;
2005;"MT";"homem";21;"branca";1;1;;1;11;350
2005;"SP";"mulher";57;"branca";1;1;;0;0;350
2005;"SP";"homem";19;"parda";1;1;"MG";1;6;350
2005;"RJ";"homem";9;"branca";1;1;;1;2;
2005;"MT";"mulher";49;"preta";1;1;"BA";1;7;0
2005;"PE";"mulher";31;"branca";1;1;;1;3;300
2005;"CE";"mulher";6;"parda";1;1;;1;0;
2005;"RS";"homem";33;"branca";1;1;;1;4;500
2005;"MG";"homem";9;"parda";1;1;;1;1;
2005;"RS";"homem";25;"preta";1;1;;1;11;415
